symptom,expanded_symptoms_new,n,deaths,prevalence,expected_deaths,SMR,bias_flag
21522001.0,abdominal pain,38663,655,0.01694126167136539,858.7719744949441,0.762717018548742,Lower than expected
29857009.0,chest pain,28940,304,0.010504492052522461,642.8073595397067,0.4729255125792033,Lower than expected
267036007.0,dyspnea,21527,1192,0.055372323129093695,478.1518323708109,2.4929319921032818,Higher than expected
25064002.0,headache,14440,65,0.004501385041551247,320.73732798042033,0.2026580454769143,Lower than expected
16932000.0,nausea and vomiting,14246,252,0.017689175909027095,316.42825307542023,0.7963890630838711,Lower than expected
386661006.0,fever,12918,302,0.023378231924446508,286.9310805298525,1.0525175573253371,≈ Expected
161891005.0,backache,10342,99,0.009572616515180815,229.7136735438717,0.43097129775817444,Lower than expected
404640003.0,dizziness,9889,68,0.006876327232278289,219.6517615234333,0.3095809454400642,Lower than expected
62315008.0,diarrhea,8380,105,0.012529832935560859,186.13426651495308,0.5641089196844088,Lower than expected
49727002.0,cough,7877,127,0.01612288942490796,174.96176817879302,0.7258728653806185,Lower than expected
271594007.0,syncope,5619,71,0.012635700302544937,124.80769016080208,0.5688752023895618,Lower than expected
422587007.0,nausea,5052,74,0.014647664291369754,112.21364134051827,0.6594563648054435,Lower than expected
267102003.0,sore throat,4465,5,0.0011198208286674132,99.17535799394577,0.05041574944761206,Lower than expected
422400008.0,vomiting,4205,82,0.019500594530321047,93.40030915219305,0.8779414195126851,Lower than expected
277130004.0,seizure undetermined whether focal or generalized,3867,75,0.019394879751745538,85.8927456579145,0.8731820065305969,Lower than expected
271807003.0,eruption,3671,9,0.002451648052301825,81.53924730028554,0.1103762948271474,Lower than expected
49650001.0,dysuria,3345,13,0.0038863976083707025,74.2982245217802,0.17497053373313257,Lower than expected
366979004.0,depressed mood,2506,12,0.004788507581803671,55.66258614397046,0.2155846652356787,Lower than expected
80394007.0,hyperglycemia,2382,34,0.014273719563392108,52.9083320809807,0.6426209003897554,Lower than expected
45007003.0,hypotension,2335,290,0.12419700214132762,51.864380944202324,5.591506053296829,Higher than expected
